uid,complexity
0092/00927522,6
0052/00522547,4
0054/00546227,20
0084/00843397,1
0054/00547503,2
0089/00897066,5
0025/00257626,8
0083/00838835,3
0064/00644060,7
0030/00309191,4
0071/00710140,4
0031/00314923,7
0088/00889030,11
0079/00795788,12
0035/00359026,3
0023/00231881,4
0046/00460379,6
0023/00236125,15
0014/00140289,1
0059/00596414,4
0091/00914662,7
0024/00246807,4
0025/00254755,12
0099/00990813,4
0005/00050714,3
0084/00847267,9
0081/00814784,8
0055/00550905,35
0068/00685442,5
0071/00710632,4
0044/00445603,14
0063/00633984,2
0090/00905662,4
0037/00375803,16
0049/00496602,8
0069/00694950,8
0047/00470882,21
0092/00929083,28
0020/00200896,6
0085/00855371,12
0082/00829066,1
0007/00075074,2
0088/00880641,1
0050/00506931,14
0065/00653130,4
0008/00082170,34
0038/00384429,24
0058/00585747,6
0010/00102673,6
0030/00300823,20
0089/00890186,12
0059/00590414,10
0020/00208390,24
0064/00642364,6
0027/00278233,14
0042/00421907,8
0073/00737231,18
0098/00988599,12
0051/00519623,6
0038/00385731,4
0039/00392367,4
0099/00997491,4
0080/00806467,1
0010/00106713,4
0041/00414339,4
0042/00421414,1
0008/00080043,4
0031/00319155,27
0097/00971357,4
0015/00150665,8
0064/00641696,1
0026/00266346,1
0029/00295098,8
0057/00571713,4
0052/00520880,8
0064/00647001,15
0050/00500977,4
0083/00835520,6
0032/00321086,12
0002/00020424,12
0009/00091401,8
0035/00351870,8
0070/00703679,20
0071/00718459,11
0017/00178620,12
0017/00174425,21
0094/00949719,10
0094/00947779,8
0087/00873260,20
0027/00271120,3
0033/00336841,4
0084/00849357,24
0099/00995109,4
0001/00013550,1
0051/00513987,13
0057/00577747,10
0074/00746778,4
0019/00196599,12
0007/00073517,4
0045/00450576,4
0081/00819753,9
0044/00448072,2
0039/00397770,14
0059/00594147,6
0002/00022095,12
0081/00812425,4
0042/00424371,2
0099/00993576,6
0047/00476331,4
0032/00320618,4
0040/00400121,2
0094/00943523,4
0065/00656942,11
0098/00987415,4
0094/00942663,8
0090/00903705,8
0083/00832205,4
0045/00451682,2
0066/00660529,16
0082/00823493,4
0051/00513950,14
0033/00331037,8
0090/00905204,4
0056/00566545,2
0050/00503736,10
0041/00414829,5
0023/00237155,1
0061/00619773,4
0090/00903366,25
0043/00430015,10
0001/00013935,4
0008/00087197,10
0012/00127546,3
0005/00058120,4
0058/00581435,3
0048/00487478,19
0053/00533308,1
0036/00363235,14
0072/00724841,16
0091/00912887,12
0069/00698981,30
0042/00421710,7
0060/00601219,2
0005/00059807,2
0025/00258503,27
0073/00739116,7
0093/00930329,32
0053/00537187,5
0068/00681549,2
0043/00437273,8
0011/00111806,16
0015/00156169,1
0007/00079451,10
0063/00638000,13
0033/00331213,4
0083/00838161,26
0062/00623811,23
0053/00530497,8
0012/00122995,1
0088/00885145,1
0033/00335212,3
0023/00232791,4
0093/00930330,30
0006/00068850,4
0033/00330584,4
0066/00663885,5
0013/00133082,8
0059/00591273,4
0056/00565558,16
0032/00327526,8
0083/00831285,1
0029/00294790,12
0057/00570093,14
0059/00598231,16
0042/00428821,20
0087/00879448,4
0000/00005062,10
0057/00572113,4
0008/00081718,7
0083/00838680,10
0072/00727956,4
0091/00914803,2
0017/00176285,4
0069/00698972,6
0038/00382521,4
0089/00897016,9
0075/00757835,6
0051/00511510,4
0021/00212596,4
0036/00360737,36
0028/00285881,4
0048/00486244,4
0063/00630666,10
0080/00803097,2
0028/00285594,5
0014/00145328,12
0030/00302552,6
0095/00958889,2
0034/00349843,2
0027/00275467,3
0027/00270685,10
0014/00148373,1
0090/00908561,4
0098/00983232,20
0050/00508197,10
0043/00439004,12
0031/00317332,4
0099/00993116,24
0067/00678346,2
0061/00618373,4
0095/00953445,12
0049/00494739,9
0083/00834672,4
0095/00957734,1
0028/00284294,4
0009/00096832,7
0054/00542824,8
0097/00976437,8
0056/00565600,4
0008/00081142,8
0020/00201068,14
0076/00766578,4
0031/00313585,4
0039/00396104,6
0018/00187184,4
0051/00512167,2
0099/00996964,4
0009/00098199,10
0032/00321119,4
0032/00322769,11
0060/00600745,5
0091/00918336,5
0063/00635449,2
0059/00596206,12
0047/00473227,4
0074/00740761,4
0058/00580676,4
0033/00330464,1
0027/00271142,5
0020/00207495,1
0095/00958650,4
0042/00422211,10
0090/00903570,32
0079/00791786,32
0046/00465180,12
0011/00110780,12
0053/00535143,8
0023/00237070,4
0079/00791303,10
0079/00799016,12
0026/00267358,1
0018/00187300,28
0010/00101507,18
0017/00176638,6
0061/00613260,4
0032/00327652,4
0052/00527592,8
0041/00418923,8
0031/00316576,1
0052/00521827,17
0008/00089699,4
0014/00144210,4
0060/00601262,10
0041/00410471,14
0087/00876354,4
0047/00476169,2
0053/00530456,7
0015/00156725,11
0068/00687884,4
0086/00867719,4
0005/00050403,4
0051/00519779,4
0072/00723755,16
0053/00534191,4
0099/00999387,8
0025/00250678,9
0053/00537508,4
0038/00381081,6
0069/00695967,1
0059/00598079,8
0035/00350959,4
0002/00020941,11
0011/00110713,4
0038/00381635,1
0020/00203074,25
0034/00348756,4
0089/00892430,5
0072/00723683,26
0036/00368834,4
0024/00242952,9
0053/00536259,4
0026/00262582,1
0051/00517664,2
0015/00153341,1
0015/00156186,2
0076/00766635,1
0002/00029931,8
0055/00556240,2
0051/00517907,4
0077/00779817,4
0031/00313010,4
0074/00740451,13
0024/00248975,6
0037/00373800,38
0053/00532449,4
0067/00670694,12
0074/00742531,22
0032/00326666,4
0069/00697272,4
0056/00565451,12
0028/00289443,8
0081/00812444,1
0027/00273039,12
0039/00398004,8
0027/00275178,8
0002/00025698,9
0032/00328109,6
0035/00356891,12
0011/00111149,1
0022/00224740,6
0074/00744386,14
0034/00341757,20
0025/00255009,16
0093/00930221,4
0036/00362038,4
0037/00374817,1
0029/00299320,4
0023/00236537,14
0014/00142989,4
0058/00587901,8
0084/00841960,8
0026/00265658,12
0011/00112427,4
0046/00464513,30
0055/00551416,8
0053/00530347,6
0059/00590379,8
0033/00336016,10
0014/00146755,36
0094/00944801,2
0064/00646748,6
0039/00396057,8
0084/00846825,5
0028/00283375,26
0032/00321575,12
0041/00417391,25
0026/00262567,1
0092/00928823,2
0032/00320363,4
0057/00577141,4
0005/00059344,11
0099/00999999,7
0060/00608018,22
0073/00738850,4
0001/00017095,10
0009/00093295,2
0095/00952226,8
0087/00878641,8
0030/00309616,5
0044/00444550,19
0097/00973058,4
0029/00294817,2
0039/00390069,4
0037/00372547,10
0087/00877795,4
0072/00722143,4
0032/00323912,1
0013/00134247,1
0010/00101842,8
0004/00042574,6
0085/00857592,6
0077/00773423,4
0024/00248979,4
0098/00981632,18
0039/00393109,8
0000/00008910,6
0039/00396070,12
0028/00287727,4
0035/00353643,20
0053/00537587,21
0008/00082321,15
0071/00717991,5
0025/00251243,2
0005/00052151,3
0066/00664388,4
0062/00625015,12
0047/00474766,16
0083/00832024,17
0005/00059019,12
0054/00545009,5
0016/00164413,5
0043/00437182,9
0095/00957173,1
0068/00689423,2
0066/00665259,4
0073/00735178,10
0034/00345680,6
0094/00942810,34
0018/00189419,6
0080/00800887,4
0053/00536271,5
0043/00436659,12
0026/00265710,8
0048/00483901,8
0024/00243734,14
0086/00867655,4
0002/00025260,6
0010/00103545,5
0008/00088034,4
0028/00283212,2
0025/00254301,7
0017/00178976,4
0011/00114871,3
0001/00014374,5
0017/00173218,1
0041/00419336,3
0046/00460667,13
0034/00342994,8
0080/00808093,4
0056/00565515,4
0081/00812534,5
0041/00419698,4
0052/00522550,8
0035/00359698,11
0058/00584462,17
0096/00960581,4
0000/00000525,10
0080/00808862,24
0044/00443385,2
0025/00255101,4
0009/00094498,7
0058/00588061,6
0068/00685541,5
0054/00546583,7
0006/00066378,5
0058/00584764,12
0063/00639283,7
0094/00945059,14
0095/00958349,7
0027/00277124,1
0025/00256403,20
0049/00495057,2
0037/00377507,4
0061/00613292,16
0099/00993210,19
0006/00069496,12
0031/00310491,1
0046/00466176,4
0034/00349842,2
0040/00405871,1
0023/00234019,4
0088/00880742,1
0036/00361384,11
0062/00628659,12
0003/00034076,4
0086/00869147,8
0071/00713970,12
0038/00380124,1
0020/00204220,1
0022/00227783,2
0015/00151448,6
0001/00012082,12
0089/00898525,12
0022/00220676,1
0085/00850969,13
0079/00796013,1
0069/00694158,8
0079/00790418,5
0037/00374535,8
0011/00118898,4
0063/00630844,1
0020/00203925,9
0082/00829675,2
0066/00662889,7
0003/00035246,4
0092/00923822,4
0076/00766165,4
0005/00058615,2
0011/00114434,12
0048/00486865,21
0022/00223651,4
0077/00779315,7
0052/00521895,5
0098/00982976,8
0093/00934883,4
0034/00342962,14
0055/00552688,4
0058/00587780,18
0033/00331118,3
0002/00020470,5
0022/00222961,31
0006/00060249,2
0019/00190475,4
0054/00541277,2
0069/00695161,16
0071/00717091,4
0016/00161294,4
0038/00382085,22
0014/00149698,16
0050/00500228,5
0005/00050776,9
0047/00476675,4
0028/00280215,8
0041/00419413,5
0030/00308536,12
0091/00918220,2
0002/00029685,10
0054/00549723,7
0070/00700233,1
0029/00296034,6
0008/00083515,8
0045/00458364,4
0050/00505921,3
0008/00084384,8
0043/00435622,10
0034/00345688,2
0062/00622268,21
0068/00688972,5
0051/00519023,14
0060/00602493,2
0078/00783761,9
0042/00424347,20
0085/00859006,2
0047/00470046,16
0017/00179194,16
0004/00042173,8
0048/00482151,12
0008/00081233,6
0009/00091841,12
0055/00556820,4
0073/00738276,25
0093/00932051,15
0063/00636416,10
0072/00727117,18
0089/00894010,14
0056/00563323,12
0077/00775758,4
0064/00646780,3
0069/00698173,4
0053/00534622,12
0064/00642297,9
0096/00964457,4
0040/00407116,4
0069/00696394,5
0051/00514723,20
0040/00403313,1
0047/00470516,21
0032/00323516,14
0043/00434442,4
0015/00157406,2
0098/00981499,14
0044/00449876,3
0038/00385295,4
0089/00890447,4
0027/00276110,8
0064/00647026,1
0047/00473935,8
0048/00481217,9
0026/00266903,18
0030/00309958,4
0060/00603932,8
0009/00096614,31
0016/00164706,3
0046/00460063,7
0075/00752319,4
0003/00030945,1
0042/00421308,14
0076/00762969,20
0034/00343024,3
0031/00317015,4
0068/00681091,26
0083/00835902,12
0017/00172491,4
0010/00105351,16
0088/00889201,4
0058/00588482,14
0028/00289293,4
0064/00643012,4
0007/00073502,6
0003/00032515,14
0075/00754336,10
0036/00368325,4
0036/00367078,14
0047/00474469,4
0090/00903337,2
0099/00992734,4
0072/00727901,12
0013/00137791,1
0083/00837457,4
0087/00870890,6
0025/00257544,4
0060/00608751,11
0069/00690591,6
0023/00233285,8
0060/00603097,12
0013/00131384,4
0084/00849414,8
0045/00459245,28
0028/00285071,4
0017/00179199,12
0025/00250802,1
0025/00258234,5
0037/00373166,7
0088/00886263,22
0071/00716390,18
0051/00514072,4
0043/00436842,8
0084/00844496,4
0037/00374300,19
0026/00260681,10
0025/00259161,4
0077/00779998,6
0030/00306961,4
0050/00508522,10
0039/00391897,8
0022/00224551,1
0062/00625888,4
0084/00844497,12
0075/00759429,1
0027/00279483,4
0070/00706097,4
0047/00478994,39
0020/00200278,39
0010/00103058,2
0091/00918793,4
0057/00573625,4
0092/00925645,2
0070/00706964,8
0083/00832210,4
0088/00880884,4
0066/00666022,1
0000/00008521,8
0005/00051152,2
0091/00913815,28
0019/00193263,16
0057/00577194,16
0036/00361239,18
0053/00539211,9
0064/00646453,9
0068/00683960,4
0099/00994712,6
0061/00611318,4
0031/00314024,5
0025/00254906,16
0069/00695276,3
0050/00506432,1
0038/00386886,6
0084/00847066,8
0044/00446323,8
0085/00858209,4
0072/00728722,4
0078/00783664,4
0013/00138865,5
0040/00406436,28
0053/00533579,5
0008/00089258,10
0049/00494071,4
0081/00817348,8
0020/00203305,12
0029/00290770,4
0028/00282759,18
0010/00101990,23
0054/00542734,4
0019/00196648,12
0024/00246331,4
0042/00421864,5
0032/00323805,4
0099/00996819,2
0059/00596067,4
0087/00870886,4
0033/00334360,36
0039/00390415,19
0007/00079735,24
0073/00738573,15
0021/00215698,4
0016/00166529,1
0026/00267736,8
0061/00614720,7
0008/00082960,8
0078/00783744,6
0021/00215297,38
0059/00598092,2
0049/00498185,4
0043/00433723,6
0074/00749749,12
0068/00682036,8
0048/00481218,6
0031/00313108,12
0017/00173655,2
0031/00313599,4
0074/00747518,4
0088/00881837,16
0056/00560262,2
0028/00282159,7
0011/00119959,1
0098/00980306,4
0000/00005707,2
0079/00799360,28
0038/00387284,9
0033/00334150,4
0086/00866083,1
0075/00758651,28
0030/00308832,4
0089/00899535,2
0087/00875808,1
0046/00466875,12
0084/00847334,16
0042/00422660,6
0040/00405609,16
0052/00525049,16
0048/00482518,1
0059/00594490,16
0035/00353621,6
0087/00876692,11
0068/00688550,11
0024/00248727,11
0006/00067180,2
0081/00811855,4
0048/00482576,8
0090/00900235,6
0029/00295745,4
0098/00984382,2
0054/00540258,8
0026/00264349,13
0084/00848726,6
0090/00904956,12
0067/00671044,12
0070/00700395,1
0098/00984148,2
0063/00637528,19
0093/00930967,4
0099/00997777,2
0049/00496489,4
0099/00990492,8
0040/00404504,4
0021/00216528,8
0071/00716130,12
0076/00761543,2
0075/00759317,1
0013/00132078,9
0052/00525855,23
0040/00408761,4
0088/00886066,5
0057/00577855,4
0006/00061320,1
0083/00835047,2
0021/00210511,20
0069/00698215,1
0048/00483792,29
0061/00611162,6
0036/00366663,6
0083/00838756,13
0065/00650181,1
0089/00892169,15
0071/00718484,13
0040/00409475,4
0038/00386943,2
0098/00988861,2
0004/00046296,1
0036/00368628,4
0027/00276888,1
0094/00945934,4
0005/00058828,12
0061/00611063,2
0042/00420039,4
0018/00185222,20
0009/00091059,20
0081/00819205,12
0048/00487086,7
0072/00727428,4
0075/00758333,5
0095/00957985,4
0097/00978006,2
0071/00715227,2
0063/00637506,20
0013/00136214,2
0096/00968974,4
0073/00735284,10
0034/00344832,1
0061/00618099,12
0070/00701214,8
0000/00002963,6
0047/00477802,18
0058/00585928,4
0055/00557425,8
0049/00497657,4
0012/00121219,1
0011/00119618,6
0057/00577900,16
0084/00840268,4
0057/00571345,12
0070/00704527,10
0076/00763244,8
0048/00485970,19
0075/00755214,1
0087/00877663,4
0043/00438809,8
0048/00484064,1
0090/00903714,41
0044/00442657,4
0057/00572695,4
0048/00480950,8
0012/00126354,4
0085/00856345,16
0096/00966721,4
0095/00951700,10
0039/00398180,11
0072/00725475,2
0044/00442593,6
0060/00600593,4
0024/00240278,8
0039/00390703,4
0027/00277618,14
0062/00628414,4
0002/00029153,27
0086/00863797,28
0012/00128610,32
0018/00184318,16
0033/00330720,1
0030/00304169,10
0069/00696513,6
0095/00959674,8
0083/00836162,8
0057/00578178,2
0062/00620288,29
0078/00780153,8
0060/00602690,24
0050/00504938,4
0032/00321514,6
0005/00050125,8
0019/00190805,1
0012/00127204,4
0032/00320600,3
0003/00036610,8
0077/00774162,12
0024/00241946,21
0000/00007849,26
0083/00831762,4
0072/00721372,5
0071/00713547,5
0045/00453148,1
0062/00625762,4
0011/00112930,2
0004/00046502,4
0023/00237883,5
0053/00539159,4
0089/00890499,1
0043/00438559,2
0060/00600838,4
0013/00138115,4
0027/00277595,14
0022/00223361,1
0010/00106715,4
0035/00350488,9
0039/00394595,1
0046/00461966,4
0062/00623643,1
0007/00076455,4
0026/00264681,8
0067/00678531,24
0072/00722866,7
0042/00422142,4
0084/00842159,4
0001/00015705,32
0002/00023012,4
0027/00270858,12
0083/00836790,4
0094/00944327,6
0025/00258190,17
0019/00195679,15
0080/00808105,4
0043/00437753,8
0027/00270688,10
0031/00318497,8
0083/00832710,9
0093/00930907,2
0052/00524327,4
0072/00722233,12
0033/00330574,13
0024/00244782,6
0045/00455013,6
0055/00555746,4
0031/00317221,18
0048/00482957,3
0046/00469414,10
0010/00104213,2
0077/00774322,4
0069/00698022,2
0049/00491192,18
0035/00351854,6
0009/00098646,24
0037/00373453,2
0061/00614300,6
0026/00261820,4
0029/00292207,12
0047/00476943,2
0022/00227336,18
0042/00425588,4
0090/00901545,20
0042/00420712,16
0097/00973599,4
0097/00975770,14
0061/00613454,6
0015/00153746,13
0053/00530394,4
0037/00372205,10
0051/00514961,11
0032/00329139,4
0036/00362834,12
0060/00609647,21
0081/00814385,4
0016/00164026,4
0038/00386693,4
0076/00760133,8
0089/00892798,1
0068/00685206,4
0040/00403497,4
0018/00188941,4
0029/00292619,28
0006/00067043,2
0074/00745817,12
0050/00500575,3
0064/00649915,8
0012/00124304,1
0057/00570165,6
0072/00724143,8
0048/00487983,4
